,m_24_2_r2024,m_24_2_r2023,m_24_2_r2022,m_24_2_r2021,m_24_2_r2020,m_24_2_r2019,m_24_2_r2018,m_24_2_r2017,m_24_2_r2016,m_24_2_r2015,m_24_2_r2014
1,422306,420800,421210,415710,416311,417804,419287,414252,415885,411106,411298
2,414708,413200,413608,408108,408709,410201,411682,406647,408278,403502,403694
3,396304,394796,395201,389715,390314,391801,393279,388257,389884,385126,385319
4,384980,383480,383885,378407,379006,380494,381979,376971,378601,373862,374060
5,357594,356096,356501,351006,351604,353093,354591,349584,351215,346490,346696
6,308047,306558,306966,301423,302024,303509,305029,300003,301631,296904,297121
7,260513,259051,259480,253864,254477,255976,257541,252487,254128,249376,249609
8,223989,222558,223014,217313,217941,219470,221083,215992,217662,212854,213104
9,197374,195961,196443,190645,191288,192855,194508,189360,191065,186168,186428
10,174798,173399,173900,168029,168680,170277,171954,166761,168487,163524,163784
11,158403,157007,157525,151559,152219,153848,155560,150307,152056,147042,147298
12,140431,139031,139555,133504,134162,135815,137556,132260,134025,129000,129250
13,133060,131621,132147,125920,126577,128258,130029,124604,126390,121271,121510
14,123699,122219,122745,116347,117000,118702,120490,114937,116737,111511,111736
15,117353,115828,116356,109771,110422,112144,113945,108244,110056,104690,104899
16,104405,102855,103388,96664.7,97316.4,99055.2,100865,95057.3,96881.5,91406.8,91602.4
17,94080.2,92503.7,93043.5,86179.7,86832.9,88587,90405.6,84487.8,86324.8,80737.4,80918.7
18,84759.6,83157.3,83700.1,76714,77366.1,79129.5,80952.3,74942.2,76789.2,71111.2,71278.2
19,81919.7,80269.1,80808.2,73653.6,74301.6,76074.7,77902.5,71761.6,73624.2,67825.4,67976.7
20,80503.8,78791,79327.6,71959.4,72606.1,74398.2,76242.1,69934.1,71827,65875.2,66012.9
21,79891.8,78104.3,78640.2,71014.1,71663.4,73485,75357.7,68847.7,70786.3,64650.4,64777
22,80304,78430.9,78967.4,71049.9,71704.6,73563.5,75475.1,68737.7,70734.7,64392.1,64510.3
23,81340.7,79375.3,79913.3,71684.4,72347.1,74249.5,76208.8,69230.6,71296.8,64736,64848.5
24,83871.1,81806.5,82348.2,73784.5,74459,76413,78431.5,71197.4,73346.3,66553.8,66663.4
25,87116.3,84940.9,85490.6,76548.5,77240.7,79259,81354,73832.4,76083.4,69030.9,69139.1
26,91238.2,88934.2,89499.2,80104.7,80823.9,82926.3,85123.3,77258.1,79639.7,72277.2,72384.1
27,96618.1,94162.6,94753.2,84805.1,85563.5,87775.7,90107.2,81821,84369.6,76627.4,76730.4
28,103167,100526,101157,90510.2,91323.6,93678.2,96184.5,87365.9,90127.5,81906.3,81995.7
29,111023,108155,108842,97312.2,98198.8,100734,103461,93968.9,96998.4,88171.5,88230.5
30,120652,117496,118263,105593,106578,109344,112355,101991,105360,95750.6,95753.1
31,130728,127205,128076,113971,115080,118131,121493,110026,113807,103209,103120
32,140044,136072,137072,121238,122500,125890,129669,116864,121119,109322,109101
33,154169,149668,150842,132952,134406,138202,142487,128068,132862,119621,119218
34,168250,163129,164513,144236,145913,150169,155027,138710,144089,129162,128525
35,182894,177085,178711,155795,157715,162462,167937,149498,155486,138695,137780
36,199153,192627,194508,168838,171007,176243,182335,161657,168242,149516,148292
37,214841,207580,209714,181252,183665,189367,196053,173080,180234,159563,158010
38,228683,220679,223053,191811,194461,200598,207843,182565,190247,167661,165764
39,242149,233424,236012,202131,205003,211521,219263,191787,199929,175542,173306
40,253954,244567,247328,211096,214163,220986,229139,199697,208211,182232,179687
41,262117,252150,255041,216843,220070,227104,235565,204474,213265,185969,183163
42,269346,258842,261826,221955,225313,232484,241171,208659,217672,189269,186243
43,276066,265003,268059,226611,230088,237358,246238,212355,221589,192154,188919
44,283167,271437,274558,231405,235005,242386,251481,216067,225595,195043,191590
45,291883,279328,282515,237384,241123,248666,258042,220805,230735,198883,195193
46,304241,290687,293937,246558,250445,258220,267957,228603,239064,205730,201825
47,318638,303936,307235,257413,261457,269524,279708,238023,249166,214226,210212
48,332525,316556,319880,267530,271737,280137,290860,246748,258758,222162,218252
49,345167,327822,331146,276238,280618,289378,300760,254185,267298,228998,225490
50,358260,339468,342776,285348,289910,299051,311218,262223,276667,236610,233780
51,370549,350303,353590,293796,298539,308090,321163,269899,285805,243909,241860
52,379183,357524,360806,298858,303783,313807,327883,274558,291897,247988,246556
53,383819,360762,364079,300124,305256,315844,331026,275814,294425,248210,247051
54,386983,362444,365868,299835,305255,316534,332962,275873,295473,246471,245152
55,387803,361637,365270,296949,302774,314855,332639,273593,293761,241395,239541
56,388619,360694,364653,293855,300204,313084,332205,271206,291417,235300,
57,389711,359932,364340,290950,297903,311424,331668,268840,288592,,
58,390391,358706,363674,287651,295177,308984,329873,265550,,,
59,389792,356209,361820,283200,291142,304630,325520,,,,
60,386324,350960,357201,276083,284134,296505,,,,,
61,379348,342394,349197,265680,273517,,,,,,
62,373534,335332,342452,256553,,,,,,,
63,369272,330345,337327,,,,,,,,
64,364773,325877,,,,,,,,,
65,359278,,,,,,,,,,
