 index year n comp_unit obs pred pearson
fishery 1966 115.979  31 0.0650695 0.0566653 0.391433
fishery 1966 115.979  32 0.0792521 0.0608966 0.826548
fishery 1966 115.979  33 0.0681695 0.0614193 0.302751
fishery 1966 115.979  34 0.0761844 0.0601498 0.72622
fishery 1966 115.979  35 0.0865 0.0582184 1.30063
fishery 1966 115.979  36 0.0794357 0.0573583 1.02242
fishery 1966 115.979  37 0.0782259 0.0571701 0.976617
fishery 1966 115.979  38 0.0633304 0.0570002 0.294018
fishery 1966 115.979  39 0.177904 0.264529 -2.11499
fishery 1967 103.389  15 0 0.00114791 -0.343209
fishery 1967 103.389  16 0 0.00112176 -0.339239
fishery 1967 103.389  17 0 0.00201179 -0.455398
fishery 1967 103.389  18 0 0.00336452 -0.589914
fishery 1967 103.389  19 0 0.00551478 -0.756503
fishery 1967 103.389  20 0 0.0086301 -0.948152
fishery 1967 103.389  21 0.000965605 0.012558 -1.05809
fishery 1967 103.389  22 0.00186321 0.0170845 -1.194
fishery 1967 103.389  23 0.00353602 0.0213493 -1.25278
fishery 1967 103.389  24 0.0100913 0.0250011 -0.970833
fishery 1967 103.389  25 0.0123081 0.0271534 -0.92857
fishery 1967 103.389  26 0.0200465 0.0284534 -0.514041
fishery 1967 103.389  27 0.0241673 0.0298727 -0.34072
fishery 1967 103.389  28 0.0293898 0.0325897 -0.183217
fishery 1967 103.389  29 0.0381074 0.0379886 0.00631818
fishery 1967 103.389  30 0.0391818 0.0461858 -0.339276
fishery 1967 103.389  31 0.0598131 0.0550186 0.213786
fishery 1967 103.389  32 0.0603571 0.0623191 -0.0825183
fishery 1967 103.389  33 0.0698772 0.0654555 0.18177
fishery 1967 103.389  34 0.0790844 0.0640716 0.623324
fishery 1967 103.389  35 0.0848237 0.0594549 1.09074
fishery 1967 103.389  36 0.0957581 0.0547597 1.83217
fishery 1967 103.389  37 0.0941397 0.0513738 1.96959
fishery 1967 103.389  38 0.0884277 0.0495448 1.82175
fishery 1967 103.389  39 0.188062 0.237975 -1.19177
fishery 1968 119.412  15 0 0.0011692 -0.372285
fishery 1968 119.412  16 0 0.000902321 -0.326595
fishery 1968 119.412  17 0 0.00147398 -0.418432
fishery 1968 119.412  18 0 0.00223453 -0.515984
fishery 1968 119.412  19 0 0.00342568 -0.639753
fishery 1968 119.412  20 0 0.00522069 -0.790882
fishery 1968 119.412  21 0.000245033 0.00821902 -0.96454
fishery 1968 119.412  22 0.00219509 0.0127883 -1.02985
fishery 1968 119.412  23 0.00813714 0.0188275 -0.859281
fishery 1968 119.412  24 0.0236661 0.0260708 -0.164877
fishery 1968 119.412  25 0.0457599 0.0332477 0.762534
fishery 1968 119.412  26 0.0687624 0.0394437 1.64576
fishery 1968 119.412  27 0.0754599 0.04344 1.71631
fishery 1968 119.412  28 0.0780022 0.0453775 1.71273
fishery 1968 119.412  29 0.064168 0.0466136 0.909862
fishery 1968 119.412  30 0.056766 0.0489214 0.397367
fishery 1968 119.412  31 0.0532232 0.0530609 0.0079124
fishery 1968 119.412  32 0.0484349 0.0583682 -0.462972
fishery 1968 119.412  33 0.0505176 0.0622528 -0.530714
fishery 1968 119.412  34 0.0570621 0.0630827 -0.270601
fishery 1968 119.412  35 0.0595532 0.0599051 -0.016204
fishery 1968 119.412  36 0.0636269 0.0545549 0.436473
fishery 1968 119.412  37 0.0623507 0.0493757 0.654378
fishery 1968 119.412  38 0.0524779 0.0456241 0.358882
fishery 1968 119.412  39 0.129592 0.2164 -2.30357
fishery 1969 97.6663  15 0 0.00170436 -0.407151
fishery 1969 97.6663  16 0 0.00126562 -0.350422
fishery 1969 97.6663  17 0 0.00181802 -0.420609
fishery 1969 97.6663  18 0 0.00238893 -0.482601
fishery 1969 97.6663  19 0 0.00316062 -0.5556
fishery 1969 97.6663  20 3.05306e-005 0.00393585 -0.615626
fishery 1969 97.6663  21 0.000915919 0.00548416 -0.610755
fishery 1969 97.6663  22 0.00283935 0.00804561 -0.57558
fishery 1969 97.6663  23 0.00520547 0.0121432 -0.625749
fishery 1969 97.6663  24 0.0180436 0.0188205 -0.0564868
fishery 1969 97.6663  25 0.0441625 0.0277272 0.989075
fishery 1969 97.6663  26 0.0849057 0.0382391 2.40457
fishery 1969 97.6663  27 0.128992 0.0488408 3.6747
fishery 1969 97.6663  28 0.145921 0.0571084 3.78208
fishery 1969 97.6663  29 0.131511 0.0616359 2.87116
fishery 1969 97.6663  30 0.0943244 0.063027 1.27269
fishery 1969 97.6663  31 0.0588936 0.0621731 -0.134211
fishery 1969 97.6663  32 0.040621 0.0614618 -0.857482
fishery 1969 97.6663  33 0.0260884 0.0609028 -1.43854
fishery 1969 97.6663  34 0.0299047 0.0601017 -1.2555
fishery 1969 97.6663  35 0.0347133 0.0572727 -0.959393
fishery 1969 97.6663  36 0.0417048 0.0528191 -0.491022
fishery 1969 97.6663  37 0.0390029 0.0476947 -0.403011
fishery 1969 97.6663  38 0.0270196 0.04316 -0.784837
fishery 1969 97.6663  39 0.0452006 0.199069 -3.80815
fishery 1970 74.7758  15 0 0.00206757 -0.392658
fishery 1970 74.7758  16 0 0.00156969 -0.341784
fishery 1970 74.7758  17 0 0.00228159 -0.412618
fishery 1970 74.7758  18 0 0.00302954 -0.475898
fishery 1970 74.7758  19 0 0.00378779 -0.532509
fishery 1970 74.7758  20 0 0.00450462 -0.581046
